Raman.Shift,Run Product (8 Hr)
432.3461,415.74925
433.3103,542.5862
434.2745,718.25085
435.2388,956.54145
436.203,1331.05
437.1672,1758.0915
438.1315,2075.13
439.0957,2267.995
440.0599,2294.349
441.0242,2082.071
441.9884,1737.588
442.9526,1383.865
443.9169,1079.676
444.8811,839.92885
445.8453,663.29985
446.8096,538.39065
447.7738,449.41075
448.738,382.3807
449.7023,337.21725
450.6665,295.64935
451.6307,257.13485
452.595,222.51635
453.5592,192.62305
454.5234,167.6514
455.4877,147.62375
456.4519,132.35015
457.4161,120.43845
458.3804,112.03105
459.3446,107.45845
460.3088,102.968
461.2731,94.64062
462.2373,87.055775
463.2015,83.498055
464.1658,84.92372
465.13,88.987935
466.0942,91.519045
467.0585,93.20154
468.0227,95.296595
468.9869,98.29663
469.9512,101.685785
470.9154,102.536265
471.8796,101.08806
472.8439,97.072405
473.8081,88.89487
474.7723,77.57345
475.7366,67.26772
476.7008,58.74585
477.665,51.579425
478.6293,45.75078
479.5935,41.25439
480.5577,38.22062
481.522,37.33542
482.4862,36.907925
483.4504,35.527465
484.4147,33.29937
485.3789,30.40498
486.3431,26.95806
487.3074,23.08946
488.2716,20.726045
489.2358,20.028485
490.2001,19.78512
491.1643,18.67833
492.1285,16.044705
493.0928,14.72384
494.057,14.94603
495.0212,15.76279
495.9855,16.82276
496.9497,18.067135
497.9139,19.15408
498.8782,18.77604
499.8424,19.00222
500.8066,21.336325
501.7709,26.03296
502.7351,31.996135
503.6993,38.358945
504.6636,44.223125
505.6278,47.02035
506.592,45.99031
507.5563,42.04076
508.5205,38.02881
509.4847,33.95492
510.449,29.8458
511.4132,25.66392
512.3774,21.52972
513.3417,17.493255
514.3059,13.12348
515.2701,9.657644
516.2344,7.4896205
517.1986,6.2457125
518.1628,5.6996795
519.1271,5.815988
520.0913,6.108985
521.0555,5.844641
522.0198,5.15643
522.984,4.176852
523.9482,2.99594105
524.9125,1.6262085
525.8767,0.412985
526.8409,-0.8387145
527.8052,-1.3766663
528.7694,-0.3993195
529.7336,1.9976683
530.6979,3.3781555
531.6621,2.3200439
532.6263,1.30985715
533.5906,0.77773115
534.5548,0.7939576
535.519,1.2459504
536.4833,2.2071135
537.4475,3.5439305
538.4117,4.975107
539.376,6.588565
540.3402,8.647762
541.3044,11.4633825
542.2687,15.01116
543.2329,18.410215
544.1971,21.74703
545.1614,24.31405
546.1256,25.385965
547.0898,24.693335
548.0541,23.47453
549.0183,22.20057
549.9825,20.217695
550.9468,16.476865
551.911,11.006547
552.8752,6.5885745
553.8395,5.9666965
554.8037,6.1885225
555.7679,6.4382935
556.7322,6.3261505
557.6964,5.600815
558.6606,3.56337875
559.6249,0.79676812
560.5891,-0.7343384
561.5533,-0.9056274
562.5176,-0.42943725
563.4818,-0.3058013
564.446,-0.546023375
565.4103,-1.04924645
566.3745,-2.1293425
567.3387,-3.149988
568.303,-3.545801
569.2672,-3.152719
570.2314,-2.903018
571.1957,-3.6292645
572.1599,-4.264055
573.1241,-3.9718
574.0884,-2.6770812
575.0526,-1.2178435
576.0168,-0.914581
576.9811,-1.1301818
577.9453,-1.056793
578.9095,-0.5805145
579.8738,0.120813
580.838,0.7430602
581.8022,1.3352141
582.7665,1.4192751
583.7307,0.4500977
584.6949,-0.56636045
585.6592,-0.384173615
586.6234,1.56605235
587.5876,3.1847015
588.5519,3.9126405
589.5161,4.2243625
590.4803,4.3396115
591.4446,4.351782
592.4088,4.300894
593.373,4.3405025
594.3373,4.2839995
595.3015,3.913519
596.2657,3.2136935
597.23,2.312964
598.1942,1.44514146
599.1584,0.6210085
600.1227,0.1068665
601.0869,0.0365755
602.0511,0.0946565
603.0154,-0.122192365
603.9796,-0.7112745
604.9438,-1.350244
605.9081,-2.48283235
606.8723,-3.160657
607.8365,-2.296872
608.8008,0.2838745
609.765,2.545792
610.7292,1.518259
611.6935,-0.3680542
612.6577,-1.38165745
613.6219,-1.16608445
614.5862,-0.39262555
615.5504,-0.331514
616.5146,-1.0901214
617.4789,-0.81057285
618.4431,0.84954535
619.4073,3.1545655
620.3716,5.2841645
621.3358,7.5351895
622.3,8.880173
623.2643,8.5774715
624.2285,8.0798465
625.1927,8.3043695
626.157,9.426303
627.1212,10.69927
628.0854,11.799355
629.0497,12.58922
630.0139,12.95348
630.9781,12.871285
631.9424,12.38139
632.9066,11.541615
633.8708,10.3112415
634.8351,8.494495
635.7993,5.720752
636.7635,3.117961
637.7278,2.108554
638.692,3.291287
639.6563,4.27103
640.6205,5.085977
641.5847,5.7575595
642.549,6.3185805
643.5132,6.692926
644.4774,6.6291505
645.4417,5.6110885
646.4059,4.3997065
647.3701,3.3896175
648.3344,2.6134995
649.2986,1.943813
650.2628,1.208412
651.2271,0.527264426
652.1913,0.58329765
653.1555,1.3933565
654.1198,2.1657685
655.084,2.310199
656.0482,1.774731
657.0125,0.92968445
657.9767,-0.947656075
658.9409,-2.20134585
659.9052,-2.0196795
660.8694,-0.78707565
661.8336,0.2993654
662.7979,0.62717603
663.7621,0.5528673
664.7263,0.1619461
665.6906,-0.330981
666.6548,-0.6293185
667.619,-0.5115615
668.5833,-0.08310545
669.5475,0.21259764
670.5117,0.3699249
671.476,0.36826015
672.4402,0.136969
673.4044,-0.26606595
674.3687,-0.4481491
675.3329,-0.5472931
676.2971,-0.1071152
677.2614,1.4458818
678.2256,3.353162
679.1898,4.562308
680.1541,4.577286
681.1183,4.1758625
682.0825,3.7137025
683.0468,3.351254
684.011,3.231392
684.9752,3.405275
685.9395,3.7989105
686.9037,4.2690095
687.8679,4.884509
688.8322,5.8946745
689.7964,7.4517975
690.7606,9.1254725
691.7249,10.160497
692.6891,10.136648
693.6533,10.2250605
694.6176,10.64787
695.5818,11.185205
696.546,11.57785
697.5103,11.767963
698.4745,12.1274905
699.4387,13.4997175
700.403,14.672695
701.3672,14.75986
702.3314,14.00382
703.2957,13.2093
704.2599,13.2272
705.2241,14.038095
706.1884,15.129215
707.1526,16.46664
708.1168,17.46917
709.0811,17.719425
710.0453,17.236145
711.0095,16.61401
711.9738,15.794635
712.938,14.987185
713.9022,14.207385
714.8665,13.41229
715.8307,12.520415
716.7949,11.433685
717.7592,10.478605
718.7234,9.945804
719.6876,9.585463
720.6519,9.0428545
721.6161,8.1838975
722.5803,7.299394
723.5446,7.299237
724.5088,8.117578
725.473,8.2574585
726.4373,7.2750335
727.4015,5.688269
728.3657,4.464058
729.33,4.012967
730.2942,3.0871875
731.2584,0.6617233
732.2227,-1.5019716
733.1869,-1.97178945
734.1511,-0.66344915
735.1154,0.71670365
736.0796,0.5977952
737.0438,0.0421295
738.0081,-0.147992
738.9723,0.044411
739.9365,0.3806355
740.9008,0.61496255
741.865,0.75333395
742.8292,0.7762636
743.7935,0.61403365
744.7577,0.546185475
745.7219,0.82919935
746.6862,1.3880875
747.6504,1.6240695
748.6146,1.1798675
749.5789,0.799141
750.5431,0.58083365
751.5073,0.52436525
752.4716,0.55235295
753.4358,0.60260465
754.4,0.880064455
755.3643,1.939084
756.3285,3.262787
757.2927,4.3447465
758.257,5.021385
759.2212,5.3569105
760.1854,5.424347
761.1497,5.12049
762.1139,4.760466
763.0781,4.035764
764.0424,3.4780285
765.0066,3.5580335
765.9708,4.3313995
766.9351,5.3608565
767.8993,7.538751
768.8635,8.942035
769.8278,8.0703675
770.792,5.843774
771.7562,4.402119
772.7205,5.4877565
773.6847,7.624496
774.6489,7.833986
775.6132,6.792851
776.5774,6.043336
777.5416,6.408014
778.5059,7.5982575
779.4701,8.4215775
780.4343,8.431729
781.3986,8.8310825
782.3628,9.7847745
783.327,10.963605
784.2913,12.14025
785.2555,13.36379
786.2197,14.23595
787.184,14.20317
788.1482,14.041015
789.1124,14.209825
790.0767,14.682295
791.0409,15.13438
792.0051,15.25554
792.9694,15.1148
793.9336,14.83349
794.8978,14.423545
795.8621,14.37469
796.8263,15.08146
797.7905,16.471035
798.7548,17.66941
799.719,18.42572
800.6832,19.355685
801.6475,20.39204
802.6117,21.68016
803.5759,23.525165
804.5402,26.08549
805.5044,28.3957
806.4686,29.36379
807.4329,30.146185
808.3971,31.371515
809.3613,33.281225
810.3256,36.035745
811.2898,39.926465
812.254,44.8907
813.2183,48.83446
814.1825,51.26236
815.1467,54.721735
816.111,61.388045
817.0752,71.00014
818.0394,79.549045
819.0037,86.4959
819.9679,92.39951
820.9321,97.947205
821.8964,102.38205
822.8606,104.72025
823.8248,104.5321
824.7891,102.4228
825.7533,98.015035
826.7175,92.612505
827.6818,87.27127
828.646,82.220805
829.6102,77.294375
830.5745,72.29904
831.5387,67.090105
832.5029,62.72586
833.4672,59.222885
834.4314,56.438735
835.3956,54.82802
836.3599,53.974815
837.3241,52.160815
838.2883,48.01972
839.2526,44.40334
840.2168,42.80246
841.181,42.03984
842.1453,40.806135
843.1095,38.60444
844.0737,36.133535
845.038,34.665215
846.0022,33.86757
846.9664,32.347255
847.9307,29.867845
848.8949,27.64347
849.8591,27.336725
850.8234,29.477695
851.7876,30.114965
852.7518,27.73649
853.7161,25.73356
854.6803,25.3555
855.6445,25.96675
856.6088,26.194185
857.573,25.372005
858.5372,24.57855
859.5015,24.61479
860.4657,25.10561
861.4299,25.86245
862.3942,26.78919
863.3584,27.78157
864.3226,28.65699
865.2869,29.393955
866.2511,30.062485
867.2153,30.76519
868.1796,31.17333
869.1438,30.84544
870.108,29.90527
871.0723,29.517325
872.0365,30.549565
873.0007,31.21885
873.965,31.099025
874.9292,30.358715
875.8934,29.10099
876.8577,27.42583
877.8219,25.632475
878.7861,23.90458
879.7504,22.38919
880.7146,21.59627
881.6788,21.521305
882.6431,21.2756
883.6073,19.843805
884.5715,17.10467
885.5358,14.995735
886.5,13.84303
887.4642,12.804475
888.4285,11.66066
889.3927,10.615515
890.3569,10.1131435
891.3212,10.41326
892.2854,10.5097595
893.2496,9.2441805
894.2139,7.821019
895.1781,7.1412595
896.1423,7.3058025
897.1066,8.0101395
898.0708,8.9904815
899.035,10.099995
899.9993,9.6668395
900.9635,7.460419
901.9277,5.3070575
902.892,3.924469
903.8562,3.2249325
904.8204,2.8935075
905.7847,3.1591795
906.7489,3.229222
907.7131,2.666223
908.6774,2.09624925
909.6416,2.068822
910.6058,2.557063
911.5701,3.06390855
912.5343,3.2298034
913.4985,2.987874
914.4628,2.0901869
915.427,0.76106405
916.3912,-0.1713303
917.3555,-0.22545167
918.3197,0.363794
919.2839,0.757608
920.2482,0.6749085
921.2124,0.9446565
922.1766,1.98258535
923.1409,2.975102
924.1051,3.2768755
925.0693,2.9091125
926.0336,2.51687485
926.9978,2.5440734
927.962,2.4682922
928.9263,1.868382195
929.8905,0.93009945
930.8547,-0.1035495
931.819,-1.08925763
932.7832,-2.0054903
933.7474,-2.826932
934.7117,-3.552107
935.6759,-3.40359815
936.6401,-1.7854064
937.6044,0.000908
938.5686,1.0129976
939.5328,1.2377823
940.4971,0.7637405
941.4613,-1.53486625
942.4255,-2.944318
943.3898,-2.0793535
944.354,-0.2449646
945.3182,1.1042954
946.2825,1.430742
947.2467,1.370944
948.2109,1.7828142
949.1752,2.4961013
950.1394,3.00518485
951.1036,3.3001265
952.0679,3.2777955
953.0321,2.6620255
953.9963,1.50157025
954.9606,1.124461
955.9248,2.16705445
956.889,3.2040847
957.8533,4.1180815
958.8175,5.048605
959.7817,6.122701
960.746,7.360167
961.7102,8.6088015
962.6744,8.98119
963.6387,10.179598
964.6029,12.937626
965.5671,17.92794
966.5314,24.48044
967.4956,32.27569
968.4598,45.477165
969.4241,78.405445
970.3883,133.1007
971.3525,210.68135
972.3168,355.6323
973.281,482.8684
974.2452,527.5145
975.2095,492.2101
976.1737,426.78355
977.1379,321.989
978.1022,225.7535
979.0664,160.567
980.0306,117.9708
980.9949,90.205075
981.9591,72.490205
982.9233,61.564255
983.8876,52.846655
984.8518,46.520715
985.816,41.259285
986.7803,36.77721
987.7445,34.07794
988.7087,34.57361
989.673,37.49952
990.6372,39.19443
991.6014,38.03069
992.5657,38.51153
993.5299,41.57146
994.4941,46.38131
995.4584,51.19647
996.4226,56.818875
997.3868,65.477975
998.3511,77.78238
999.3153,97.56581
1000.28,117.2523
1001.244,145.18905
1002.208,219.7391
1003.172,348.68225
1004.136,550.67575
1005.101,906.505
1006.065,1555.726
1007.029,1917.335
1007.993,1912.9965
1008.958,1752.317
1009.922,1413.0045
1010.886,994.47595
1011.85,649.65955
1012.815,438
1013.779,304.8711
1014.743,223.91375
1015.707,172.7385
1016.672,135.064
1017.636,106.83
1018.6,85.63418
1019.564,69.286695
1020.528,57.679165
1021.493,48.66773
1022.457,44.287615
1023.421,39.86602
1024.385,34.68078
1025.35,29.73991
1026.314,25.99459
1027.278,23.547645
1028.242,21.79563
1029.207,20.682395
1030.171,19.73826
1031.135,18.49002
1032.099,17.171485
1033.063,16.305655
1034.028,16.099945
1034.992,16.153515
1035.956,15.638985
1036.92,14.350825
1037.885,13.4693125
1038.849,13.390015
1039.813,13.15833
1040.777,12.1110955
1041.742,10.655587
1042.706,9.8729015
1043.67,10.185012
1044.634,10.2954885
1045.599,9.3556535
1046.563,8.3265855
1047.527,7.8459785
1048.491,7.8532875
1049.455,7.944589
1050.42,7.817833
1051.384,7.5063705
1052.348,7.106091
1053.312,6.619786
1054.277,6.329859
1055.241,6.3182175
1056.205,6.4766465
1057.169,6.8265415
1058.134,7.354242
1059.098,7.503314
1060.062,6.9705385
1061.026,6.2267535
1061.99,5.245183
1062.955,4.32332585
1063.919,3.77692095
1064.883,3.61892075
1065.847,3.55919805
1066.812,3.2940416
1067.776,2.9136337
1068.74,2.96283411
1069.704,3.416342
1070.669,3.3419985
1071.633,2.0084688
1072.597,0.31800665
1073.561,0.0010425
1074.526,1.4295808
1075.49,2.5655577
1076.454,3.1932265
1077.418,3.361409
1078.382,2.719705
1079.347,1.76434035
1080.311,1.104248
1081.275,0.96741
1082.239,1.2204787
1083.204,1.8794065
1084.168,2.7421251
1085.132,3.1445407
1086.096,3.0658445
1087.061,2.815544
1088.025,2.535858
1088.989,2.2401245
1089.953,1.99023585
1090.917,1.8409364
1091.882,1.80114005
1092.846,1.72136225
1093.81,1.76332865
1094.774,2.24791995
1095.739,2.836786
1096.703,2.9138015
1097.667,2.2349409
1098.631,1.2350711
1099.596,0.258253
1100.56,-0.6163926
