Raman.Shift,Starting Material (006)
563.2286,-0.11161195
564.1929,-0.01545565
565.1571,-0.02073975
566.1213,-0.43610095
567.0856,-1.90059815
568.0498,-3.5448895
569.014,-4.3428315
569.9783,-3.6300825
570.9425,-2.3019365
571.9067,-1.643032
572.871,-1.3764967
573.8352,-1.109282
574.7994,-0.6224305
575.7637,-0.015448
576.7279,-0.11990965
577.6921,-1.3517915
578.6564,-2.02597505
579.6206,-1.2738817
580.5848,0.57075975
581.5491,1.8486665
582.5133,2.0644895
583.4775,1.77297505
584.4418,0.575769
585.406,-0.8663262
586.3702,-1.532454795
587.3345,-0.5577715
588.2987,0.852191
589.2629,1.3688844
590.2272,1.20151685
591.1914,0.539958
592.1556,-0.46306
593.1199,-1.723296
594.0841,-2.13595565
595.0483,-1.7485182
596.0126,-1.02770087
596.9768,0.18181155
597.941,1.8022935
598.9053,2.6706055
599.8695,1.9512725
600.8337,1.0652586
601.798,-0.015936
602.7622,-1.08907455
603.7264,-1.84392214
604.6907,-1.944570875
605.6549,-1.762822785
606.6191,-1.8142908
607.5834,-1.950351
608.5476,-1.88397815
609.5118,-1.40043355
610.4761,-0.6039779
611.4403,-0.27626345
612.4045,-0.37325745
613.3688,-0.4723297
614.333,-0.361174
615.2972,-0.0637236
616.2615,0.131363
617.2257,0.00744785
618.1899,-0.0139205
619.1542,0.21125505
620.1184,0.590179695
621.0826,0.92466915
622.0469,1.057872
623.0111,1.1951935
623.9753,1.64254
624.9396,2.1967897
625.9038,2.54182925
626.868,2.4502517
627.8323,2.01053
628.7965,1.82240305
629.7607,1.86840965
630.725,1.703822
631.6892,1.0332505
632.6534,-0.0251236
633.6177,-0.721494865
634.5819,-0.75817568
635.5461,-0.7971956
636.5104,-0.92629725
637.4746,-1.08611765
638.4388,-1.19448855
639.4031,-1.24443805
640.3673,-1.12275546
641.3315,-0.6429548
642.2958,-0.0692932
643.26,0.2823792
644.2242,0.258557
645.1885,0.029489
646.1527,0.193947
647.1169,0.71101535
648.0812,1.0520597
649.0454,0.9761537
650.0096,0.61276395
650.9739,0.45139935
651.9381,0.8421022
652.9023,0.993889095
653.8666,0.55869746
654.8308,-0.02803805
655.795,-0.2778824
656.7593,0.0249161
657.7235,0.44457105
658.6877,0.78427585
659.652,1.0054181
660.6162,1.01540985
661.5804,0.791759
662.5447,0.3895415
663.5089,-0.1377365
664.4731,-0.78472755
665.4374,-0.869297955
666.4016,-0.03289
667.3658,1.1202696
668.3301,1.55522145
669.2943,0.99732495
670.2585,0.2808931
671.2228,-1.00501865
672.187,-2.050792
673.1512,-2.0863585
674.1155,-0.99412695
675.0797,0.12583615
676.0439,0.00145415
677.0082,-0.30461705
677.9724,0.10433345
678.9366,1.1574386
679.9009,2.0612395
680.8651,1.65648025
681.8293,-0.124355
682.7936,-0.7544555
683.7578,0.0945115
684.722,1.2812195
685.6863,1.85751193
686.6505,1.7411255
687.6147,1.5412795
688.579,1.2047305
689.5432,0.82093495
690.5074,0.235221855
691.4717,-0.3734785
692.4359,-0.500549
693.4001,0.5087995
694.3644,1.72721855
695.3286,2.257645
696.2928,2.2708495
697.2571,2.166519
698.2213,2.2528595
699.1855,2.4469025
700.1498,2.102731
701.114,1.2236005
702.0782,0.38243866
703.0425,-0.47067564
704.0067,-1.1832122
704.9709,-0.999663
705.9352,1.0865019
706.8994,2.6407685
707.8636,3.135147
708.8279,3.0174865
709.7921,2.7573805
710.7563,2.5571825
711.7206,2.2940995
712.6848,1.3197236
713.649,0.3283034
714.6133,0.5391813
715.5775,2.2015883
716.5417,4.2596175
717.506,4.324905
718.4702,1.3650621
719.4344,-0.5906418
720.3987,-1.3170575
721.3629,-1.18068395
722.3271,-0.22876435
723.2914,1.875809
724.2556,2.9302935
725.2198,1.692485
726.1841,0.10505825
727.1483,-1.08721285
728.1125,-1.70374595
729.0768,-1.8835741
730.041,-1.6262773
731.0052,-1.3028337
731.9695,-1.4468264
732.9337,-1.9547867
733.8979,-2.51919405
734.8622,-2.89089805
735.8264,-3.0714994
736.7906,-2.968422
737.7549,-2.514624
738.7191,-1.9847
739.6833,-1.235971
740.6476,-0.4374632
741.6118,-0.1332565
742.576,-0.8392377
743.5403,-1.4059129
744.5045,-1.26622165
745.4688,-0.79748545
746.433,-0.3863482
747.3972,-0.23414155
748.3615,-0.26708983
749.3257,-0.41557155
750.2899,-0.56023548
751.2542,-0.341201755
752.2184,0.38905335
753.1826,1.2302628
754.1469,1.3576705
755.1111,0.145714
756.0753,-0.4463
757.0396,-0.0796175
758.0038,0.4669707
758.968,0.8205306
759.9323,0.9457323
760.8965,0.8663038
761.8607,0.27015075
762.825,-0.2894255
763.7892,-0.413612
764.7534,-0.188931
765.7177,0.1010315
766.6819,0.2015839
767.6461,0.19591675
768.6104,0.67563475
769.5746,1.5862413
770.5388,2.16566195
771.5031,1.9622163
772.4673,1.1713289
773.4315,0.6260986
774.3958,0.4297241
775.36,0.3613953
776.3242,0.45434725
777.2885,0.6736618
778.2527,1.08569975
779.2169,1.6772415
780.1812,2.0025485
781.1454,1.28990505
782.1096,0.3239303
783.0739,-0.3537751
784.0381,-0.67019635
785.0023,-0.815349035
785.9666,-1.03927905
786.9308,-1.3467625
787.895,-1.1400176
788.8593,-0.1010745
789.8235,0.746402
790.7877,0.70132
791.752,-0.1113905
792.7162,-0.64019615
793.6804,-0.6916613
794.6447,-0.4525864
795.6089,0.3384477
796.5731,1.2276277
797.5374,1.639467
798.5016,1.3185364
799.4658,0.79103695
800.4301,0.86332695
801.3943,1.20854475
802.3585,1.4840819
803.3228,1.6126615
804.287,1.676497
805.2512,1.808127
806.2155,2.0884965
807.1797,2.2526825
808.1439,2.0342465
809.1082,1.86378
810.0724,2.1064635
811.0366,2.71609
812.0009,3.1198165
812.9651,2.8357835
813.9293,2.710123
814.8936,3.1528425
815.8578,3.9473845
816.822,4.816434
817.7863,5.5777345
818.7505,6.1524855
819.7147,6.2449595
820.679,5.983507
821.6432,5.930258
822.6074,6.3470105
823.5717,6.9297885
824.5359,7.098152
825.5001,6.7558165
826.4644,6.131244
827.4286,4.7893935
828.3928,3.6052075
829.3571,3.3445055
830.3213,3.8407195
831.2855,3.912944
832.2498,2.31060035
833.214,0.60375055
834.1782,0.3884124
835.1425,1.2894365
836.1067,2.7466965
837.0709,4.3884585
838.0352,5.938762
838.9994,5.996661
839.9636,3.656125
840.9279,2.1926815
841.8921,2.687636
842.8563,3.7939135
843.8206,3.6369815
844.7848,1.7636996
845.749,0.4996752
846.7133,1.13504195
847.6775,1.9564255
848.6417,2.0000455
849.606,1.4295365
850.5702,1.120273
851.5344,1.8725386
852.4987,3.141621
853.4629,3.3892715
854.4271,2.8074155
855.3914,2.1499587
856.3556,1.79846035
857.3198,1.682065
858.2841,1.494516
859.2483,1.0986328
860.2125,0.7778
861.1768,0.63474557
862.141,0.55757905
863.1052,0.46223455
864.0695,0.317309605
865.0337,0.0969223
865.9979,-0.4257461
866.9622,-0.79965515
867.9264,-0.48436585
868.8906,0.2821091
869.8549,0.90787225
870.8191,0.9332273
871.7833,0.49169155
872.7476,0.27261505
873.7118,0.217659
874.676,0.51849975
875.6403,1.74012295
876.6045,3.11644
877.5687,3.318422
878.533,1.8902605
879.4972,0.80935675
880.4614,0.5636445
881.4257,0.7645965
882.3899,1.67589865
883.3541,2.9041935
884.3184,3.5057465
885.2826,2.6506345
886.2468,1.0344378
887.2111,0.28701175
888.1753,0.2054565
889.1395,0.225867
890.1038,0.092099
891.068,-0.147175595
892.0322,-0.32985385
892.9965,-0.47715
893.9607,-0.331395
894.9249,0.50501875
895.8892,1.1840805
896.8534,0.882020675
897.8176,-0.2766495
898.7819,-1.05781235
899.7461,-0.44480895
900.7103,0.3578291
901.6746,0.24370575
902.6388,-0.295961
903.603,-0.3254137
904.5673,0.58820185
905.5315,1.828366
906.4957,1.7374725
907.46,-0.3309569
908.4242,-1.607608026
909.3884,-1.5608828
910.3527,-0.958000355
911.3169,-0.3711977
912.2811,0.1948912
913.2454,0.5959962
914.2096,0.8257571
915.1738,0.71253815
916.1381,-0.21492615
917.1023,-1.4168166
918.0665,-2.0853727
919.0308,-1.81325365
919.995,-1.057710065
920.9592,-0.51757035
921.9235,-0.171744
922.8877,-0.124356
923.8519,-0.47683265
924.8162,-1.0132704
925.7804,-1.4800614
926.7446,-1.849791
927.7089,-1.989859
928.6731,-1.9158495
929.6373,-1.5723785
930.6016,-0.5860703
931.5658,0.4143585
932.53,0.440419
933.4943,-0.90506455
934.4585,-2.3148135
935.4227,-2.210095
936.387,-1.5035065
937.3512,-1.0435288
938.3154,-0.923950405
939.2797,-0.7547196
940.2439,-0.09640805
941.2081,1.04812465
942.1724,1.5125551
943.1366,0.807591
944.1008,0.1655795
945.0651,-0.173013
946.0293,-0.2470596
946.9935,-0.0381287
947.9578,0.54722435
948.922,0.92907115
949.8862,0.4896942
950.8505,-0.0508972
951.8147,-0.18672175
952.7789,0.016136
953.7432,0.18580165
954.7074,0.01452785
955.6716,-0.4053223
956.6359,-0.8066542
957.6001,-1.27164295
958.5643,-1.3237747
959.5286,-0.3411468
960.4928,0.8675322
961.457,0.7964797
962.4213,-0.98766805
963.3855,-2.16649805
964.3497,-2.0895935
965.314,-1.4458545
966.2782,-0.0044296
967.2424,1.7425629
968.2067,2.83615875
969.1709,2.68195185
970.1351,2.16744405
971.0994,3.0293093
972.0636,4.8788865
973.0278,7.303464
973.9921,10.4172165
974.9563,13.136095
975.9205,13.85818
976.8848,12.178375
977.849,10.5121945
978.8132,8.899473
979.7775,7.2426285
980.7417,5.4077255
981.7059,3.6720915
982.6702,2.2967165
983.6344,1.3338304
984.5986,0.82590785
985.5629,1.45048355
986.5271,2.26728818
987.4913,1.95580715
988.4556,0.6863204
989.4198,-0.32793885
990.384,-0.04214935
991.3483,1.3454467
992.3125,2.365189
993.2767,3.1807765
994.241,3.44375605
995.2052,2.34582655
996.1694,1.1715562
997.1337,0.9321165
998.0979,1.779171915
999.0621,3.7600205
1000.026,7.414008
1000.991,11.9254325
1001.955,15.4861265
1002.919,19.575375
1003.883,27.136295
1004.848,39.36644
1005.812,54.340405
1006.776,68.74731
1007.74,82.96999
1008.704,90.083725
1009.669,89.27437
1010.633,82.75931
1011.597,69.084095
1012.561,50.281225
1013.526,34.614515
1014.49,23.91823
1015.454,16.3551145
1016.418,11.260081
1017.383,8.01550535
1018.347,6.73828075
1019.311,6.9352295
1020.275,7.464736
1021.24,7.259055
1022.204,6.334357
1023.168,4.5905825
1024.132,1.99446705
1025.096,0.1462753
1026.061,-0.093984965
1027.025,0.59444275
1027.989,1.13586865
1028.953,1.63026255
1029.918,1.7980145
1030.882,1.09021155
1031.846,0.312646465
1032.81,-0.33624855
1033.775,-0.7426728
1034.739,-0.73682395
1035.703,-0.232666
1036.667,0.5335925
1037.631,1.3259795
1038.596,1.94303
1039.56,1.73577885
1040.524,0.5707979
1041.488,-0.4053135
1042.453,-0.043141
1043.417,1.5183105
1044.381,2.4808534
1045.345,2.7185135
1046.31,2.4367465
1047.274,0.8207627
1048.238,-0.6190996
1049.202,-0.18900755
1050.167,1.7773775
1051.131,2.9842085
1052.095,1.511664
1053.059,-0.881711
1054.023,-0.94793695
1054.988,0.4080975
1055.952,0.9264113
1056.916,-0.237051415
1057.88,-1.90033565
1058.845,-2.03437502
1059.809,-0.132395955
1060.773,0.91813685
1061.737,0.2471222
1062.702,-0.22750115
1063.666,0.1152295
1064.63,0.91226495
1065.594,1.8045
1066.558,2.6567765
1067.523,3.028446
1068.487,1.975488
1069.451,0.605644
1070.415,0.649691535
1071.38,1.8273969
1072.344,2.7563003
1073.308,2.5542954
1074.272,1.5974745
1075.237,1.03771665
1076.201,0.9591109
1077.165,1.117041
1078.129,1.69754945
1079.094,2.2561294
1080.058,2.88652
1081.022,3.2388795
1081.986,2.3318525
1082.95,-0.4767639
1083.915,-2.9449815
1084.879,-2.3587615
1085.843,-0.61723175
1086.807,0.53070985
1087.772,0.91447895
1088.736,1.22823015
1089.7,2.11240365
1090.664,3.32209025
1091.629,3.344655
1092.593,0.73638175
1093.557,-0.85226155
1094.521,-0.97282125
1095.485,-0.44336551
1096.45,0.4667281
1097.414,1.5538165
1098.378,2.25126505
1099.342,2.26342025
1100.307,1.936923
